latitude,longitude,k_value,description
-6.6111,110.8578,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-5.0444,119.8337,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-3.3614,120.2549,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-0.468,121.7806,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-0.3676,121.9564,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-0.3467,122.0941,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-0.2414,122.1851,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-0.2436,122.2995,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-0.7387,113.8677,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-1.8846,120.2449,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Cenozoic"
-14.9857,124.9051,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
-3.4538,116.1886,0.4,Ophiolitic complex of Meso-Cenozoic age
-3.4058,115.1356,0.4,Ophiolitic complex of Meso-Cenozoic age
-2.84,121.6238,0.4,Ophiolitic complex of Meso-Cenozoic age
-5.4232,122.7178,0.4,Ophiolitic complex of Meso-Cenozoic age
-5.1657,121.9208,0.4,Ophiolitic complex of Meso-Cenozoic age
-18.9161,135.2252,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-2.7124,115.5057,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-10.4637,121.8088,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-9.6716,119.9779,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-9.4203,124.7135,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-8.4979,120.1749,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-7.3332,121.0776,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-7.305,121.8186,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-6.9514,120.6956,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-6.1773,120.4751,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-5.5908,123.8242,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-1.8356,125.2258,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-1.6504,123.3948,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-0.3589,121.9896,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-2.1719,121.5724,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
19.6434,103.5209,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-7.2749,109.833,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
1.0729,114.289,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-31.378,138.9787,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-35.844,137.2304,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-35.5716,138.3564,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-30.7272,139.0523,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-30.5335,136.3534,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-34.5123,137.3565,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Paleoproterozoic"
-34.4354,137.6774,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Paleoproterozoic"
-35.1595,136.4642,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
-35.0111,136.1472,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
-35.0859,137.1344,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
-32.3953,140.8621,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
-32.9971,136.1261,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
-31.9608,123.2791,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
-34.9197,137.6128,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-33.7368,134.5085,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-33.955,138.0769,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-32.2808,133.5965,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-32.1793,137.5419,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-30.6935,137.9332,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-32.2365,138.4236,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Neoproterozoic"
-31.5926,133.6018,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Neoproterozoic"
